ticker|R1|R3|R5|R10
VRCAX|23.49|||
AFTBX|-5.03|5.73|11.43|
AFTCX|-1.16|6.59|11.68|
VRCCX|29.00|||
ATFRX|0.25|7.17|12.24|
AFTSX|0.78|7.69|12.79|
VRCFX|0.88|7.60|12.64|
VRCRX|30.71|||
AFTYX|0.79|7.64|12.79|
TNAAX|-4.79|5.89|12.70|
VREAX|27.30|||
TNABX|-4.94|6.18|12.85|
TNACX|-0.87|7.10|13.10|
VRECX|33.05|||
TNARX|0.50|7.61|13.71|
TNAIX|1.00|8.15|14.27|
TNAFX|1.00|7.99|14.04|
VRERX|34.83|||
TNAYX|1.00|8.13|14.23|
TNDAX|-4.80|5.87|13.08|
VRGAX|32.27|||
TNDBX|-4.65|6.23|13.30|
TNDCX|-0.90|7.12|13.52|
VRGCX|38.18|||
TNDRX|0.48|7.62|14.12|
TNDIX|1.12|8.19|14.66|
TNDFX|1.00|8.00|14.44|
VRGRX|39.97|||
TNDYX|1.00|8.15|14.65|
TNEAX|-4.64|5.93|13.36|
VRIAX|33.47|||
TNEBX|-4.40|6.29|13.52|
TNECX|-0.68|7.15|13.81|
VRICX|39.89|||
TNERX|0.67|7.71|14.37|
TNEIX|1.30|8.25|14.92|
TNEFX|1.29|8.11|14.75|
VRIRX|41.47|||
TNEYX|1.30|8.21|14.90|
IANAX|-5.19|2.76|6.65|
VIRAX|14.83|||
IANBX|-5.28|2.95|6.73|
IANCX|-1.29|3.93|7.09|
VIRCX|19.71|||
IANRX|0.14|4.44|7.62|
IANIX|0.63|4.93|8.13|
IANFX|0.63|4.84|7.94|
VIRRX|21.58|||
IANYX|0.63|4.93|8.16|
CAAMX|-2.14|4.54|8.71|
CMBAX|-2.20|4.83|8.87|
CACMX|1.80|5.72|9.13|
CMARX|3.24|6.28|9.68|
CMAIX|3.80|6.79|10.24|
CMASX|3.61|6.62|10.01|
CAAYX|3.78|6.72|10.20|
CNSAX|10.75|7.10|15.73|6.74
CNSBX|11.33|7.46|15.95|6.53
CNSCX|15.33|8.38|16.21|6.57
CNSIX|17.59|9.41|16.87|6.85
CNSFX|17.62|8.86|16.51|6.69
CNSDX|17.50|9.40|17.32|7.62
GTNDX|12.99|8.61|15.55|5.54
GNDBX|13.76|9.04|15.77|5.39
GNDCX|17.63|9.87|15.99|5.38
GTNRX|19.30|10.43|16.58|5.89
GNDIX|20.18|11.30|17.58|6.72
GTNYX|19.85|10.96|17.13|6.27
AADAX|2.63|6.14|13.91|
AAEBX|2.63|6.44|14.08|
AADCX|6.72|7.31|14.33|
AADRX|8.30|7.88|14.93|
AADIX|8.89|8.46|15.57|
AADSX|8.62|8.24|15.29|
AADYX|8.77|8.38|15.50|
ALAAX|-0.59|4.80|9.81|
BLIAX|-0.65|5.11|9.96|
CLIAX|3.35|6.01|10.21|
RLIAX|4.91|6.56|10.77|
ILAAX|5.38|7.08|11.32|
ALAYX|5.38|7.08|11.32|
AINAX|-1.87|1.44|12.68|
INABX|-1.91|1.63|12.86|
INACX|2.09|2.59|13.10|
RINAX|3.60|3.12|13.72|
INAIX|4.41|3.76|14.36|
AINYX|4.11|3.62|14.24|
GTAGX|12.40|6.68|13.89|6.73
GTABX|13.01|7.05|14.08|6.54
GTACX|17.06|7.89|14.33|6.53
GTARX|18.65|8.44|14.91|7.07
GTAVX|19.35|9.11|15.64|7.79
GTAFX|19.48|8.93|15.33|7.40
GTAYX|19.22|8.96|15.47|7.48
AMKAX|0.18|5.40|11.80|
AMKBX|0.28|5.72|12.01|
AMKCX|4.19|6.62|12.24|
AMKRX|5.71|7.13|12.80|
AMLIX|6.33|7.69|13.37|
AMKSX|6.15|7.53|13.16|
ABKYX|6.23|7.68|13.38|
GTSAX|22.13|14.58|22.85|8.52
GTSBX|23.28|15.15|23.15|8.31
GTSDX|27.29|15.89|23.31|8.31
GTSRX|28.91|16.47|23.93|8.86
GTSVX|29.73|17.24|24.77|9.62
GTSFX|29.87|17.01|24.41|9.21
GTSYX|29.61|17.07|24.56|9.28
GTSIX|29.28|16.77|24.25|9.13
VKMGX|-4.10|1.59|3.38|3.09
VUSBX|-5.44|1.36|3.14|2.74
VUSCX|-1.60|2.28|3.49|2.75
VUSJX|0.43|3.36|4.48|3.64
VUSIX|0.41|3.32|4.53|3.75
ASIAX|-7.87|4.68|21.90|12.12
ASIBX|-7.76|4.98|22.20|11.94
ASICX|-4.13|5.87|22.38|11.94
ASIYX|-2.26|6.93|23.59|12.91
AEDAX|7.61|8.46|16.63|9.28
AEDBX|8.03|8.86|16.86|9.10
AEDCX|12.05|9.70|17.09|9.10
AEDRX|13.61|10.25|17.67|9.65
AEDYX|14.18|10.81|18.27|10.05
EGINX|13.92|10.56|18.00|9.96
AGAAX|9.26|6.68|17.68|8.43
AGABX|9.77|7.04|17.93|8.26
AGACX|13.77|7.90|18.12|8.26
GAIIX|16.09|9.21|19.62|9.41
AGAYX|15.93|8.99|19.31|9.18
IAOPX|18.62|||
ICOPX|23.56|||
IROPX|25.17|||
IIOPX|25.95|||
IFOPX|25.87|||
IYOPX|25.95|||
AGGAX|9.00|7.31|13.66|6.45
AGGBX|9.50|7.69|13.86|6.29
AGGCX|13.46|8.55|14.10|6.28
GGAIX|15.90|9.84|15.55|7.43
AGGFX|15.87|9.56|15.08|7.12
AGGYX|15.64|9.62|15.23|7.20
AIIEX|2.30|4.24|12.82|7.72
AIEBX|2.42|4.51|13.02|7.53
